PCA1,PCA2
-2.3462887272233592,-1.8257627130829233
-2.3466369882722398,-1.825640034830697
-2.3464735429123804,-1.8256339675851694
-2.3456674375099027,-1.8257743539178188
-2.3454263851373196,-1.8257859722664649
-2.3452872001690293,-1.8257743764040677
-2.3449685407837224,-1.8258036803468862
-2.3448560292472678,-1.8257860059682052
-2.3450757494600203,-1.8256926204433062
-2.344808023898118,-1.8257103172529703
-2.3445427256849625,-1.82572746090251
-2.3440446061911193,-1.8257976613898341
-2.343675027775921,-1.8258385690945649
-2.3439723697949106,-1.8257274946042505
-2.344446744331173,-1.8255760767848217
-2.3443609062265542,-1.8255523238898557
-2.343940393745435,-1.8256048387830073
-2.3438254546177166,-1.8255877176197168
-2.3439433222196895,-1.8255175429346173
-2.3439835973599354,-1.8254650505277155
-2.344382792232221,-1.8253307651423347
-2.3449371865789574,-1.8251611118845839
-2.345952383340572,-1.8248864479555367
-2.3453766568340053,-1.8249743340370346
-2.345213211474146,-1.8249682667915073
-2.3443828454375826,-1.825114181796292
-2.343935659767144,-1.8251727751504618
-2.3440268539372813,-1.8251086789816477
-2.3432740949134416,-1.8252369083922602
-2.3436223709983524,-1.8251142267135239
-2.3436359579132495,-1.825067816194149
-2.3437538255152224,-1.82499764150905
-2.344308234655472,-1.824827984880057
-2.344321836363882,-1.8247815709894388
-2.345004771789263,-1.8245826249490948
-2.345248752636101,-1.8244837107520602
-2.3460092948316897,-1.8242670791728088
-2.3465612766231922,-1.8240979757039404
-2.3473969984827576,-1.8238642116906416
-2.347027419825043,-1.8239051194506388
-2.3468639744651836,-1.823899052205112
-2.3484684700972656,-1.8234900949911685
-2.349687372322956,-1.8231690093272555
-2.349165007231057,-1.823244735060207
-2.3495399562627703,-1.8231159749757195
-2.351219631316313,-1.822689885382994
-2.3510828666637873,-1.8226777379631944
-2.35004636005387,-1.8228706296314918
-2.350009028181392,-1.822835822818762
-2.3501002223515295,-1.822771726649948
-2.3515252651505736,-1.8224036643225217
-2.3523367338940684,-1.8221754272681048
-2.3516591545342056,-1.8222865242446689
-2.3512628954116734,-1.8223335121236723
-2.3506629230645344,-1.822426923506063
-2.3497040237098568,-1.8226021295249206
-2.3493344450521425,-1.8226430372849172
-2.3497336326489298,-1.8225087535575242
-2.3495435213752494,-1.8225087631150283
-2.3492248619899425,-1.822538067057847
-2.3489838096173594,-1.8225496854064935
-2.349484857342941,-1.8223921891260457
-2.350500046586541,-1.822117526910253
-2.3497982141106073,-1.8222341508456983
-2.3487859606167607,-1.8224215155551136
-2.3476476086715627,-1.8226376164052223
-2.346841488233055,-1.82277800616438
-2.346498583007176,-1.8228128354080926
-2.3462308574452733,-1.8228305322177567
-2.3462711325855197,-1.8227780398108544
-2.3466460668237192,-1.822649283097609
-2.3465844891106693,-1.8226200015857732
-2.346316763548767,-1.822637698395438
-2.346075711176184,-1.822649316744084
-2.3465767589017656,-1.822491820463636
-2.34649092055463,-1.8224680676239362
-2.3457866680054478,-1.822585243061518
-2.345366155766845,-1.8226377578994042
-2.3456125639624297,-1.822538290542244
-2.3457304313218863,-1.8224681159124119
-2.3460520194239645,-1.822351516065937
-2.3464779022790827,-1.8222111488482946
-2.347236017125924,-1.821995070429169
-2.347225358442765,-1.821954185155421
-2.347369914027571,-1.8218779286380617
-2.348768276361797,-1.8215159464296422
-2.3494245308373283,-1.8213230806188359
-2.3515674208609827,-1.8207914305659325
-2.3517871558672483,-1.820698041669791
-2.3538791120674984,-1.8201779987500422
-2.3528426129755964,-1.8203708887050847
-2.3526282410678307,-1.8203764269347238
-2.3541042031392823,-1.8199967607901197
-2.355325532956236,-1.819675121910815
-2.356879101797895,-1.8192777702273049
-2.3579452175894016,-1.8189915025363448
-2.355727663578275,-1.819453539019057
-2.3558964647611362,-1.8193717572560697
-2.3553231658458325,-1.8194590901221754
-2.3542599860465963,-1.8196580602514905
-2.353429620010033,-1.8198039752562756
-2.3529581812235234,-1.8198680955693274
-2.3529475225403647,-1.8198272102955795
-2.352524582710499,-1.8198802783488564
-2.3541557660828967,-1.8194652393579176
-2.354120854283667,-1.8194298810430518
-2.3541853752644855,-1.8193718633352556
-2.354021929904626,-1.819365796089729
-2.354857659282206,-1.8191320303631755
-2.3556933811417715,-1.818898266349877
-2.355503262592593,-1.8188982775653684
-2.3546462158486956,-1.8190502727444258
-2.3533526421175184,-1.8193017465514012
-2.352776923128966,-1.8193896309196442
-2.352356410647847,-1.8194421458127958
-2.352808959659302,-1.8192957017368572
-2.353079621213474,-1.8191907073655493
-2.3530422818229813,-1.8191559022660744
-2.353082556963227,-1.8191034098591714
-2.3526377913660372,-1.8191614517112045
-2.352396738993454,-1.8191730700598505
-2.3528711135297167,-1.8190216522404221
-2.3528095285411683,-1.8189923723865742
-2.3535433975474374,-1.8187818192683416
-2.3540977991696717,-1.8186121643526032
-2.355265775089973,-1.818302684108589
-2.3554345765153504,-1.8182209022903364
-2.3542695363448027,-1.818443085027972
-2.354055164437037,-1.818448623257612
-2.352375990509003,-1.8187879701620717
-2.351931232429828,-1.8188460103008508
-2.351714432930799,-1.8188521017458816
-2.3518832343561766,-1.8187703199276284
-2.352488569801816,-1.8185890578787347
-2.3532200114593382,-1.8183790579206272
-2.352518178983405,-1.8184956818560734
-2.35214860032569,-1.8185365896160695
-2.3522664752031615,-1.8184664132729826
-2.3531264501787974,-1.818227122300802
-2.3541925659703034,-1.8179408546098432
-2.354208580476464,-1.8178938908750768
-2.3542997821646163,-1.8178297929930078
-2.35652027168298,-1.817280459059186
-2.356790933237152,-1.8171754646878773
-2.3561909608900127,-1.8172688760702689
-2.3566168291941336,-1.8171285121686034
-2.3568123110843286,-1.8170406502313434
-2.35856960066861,-1.8165968733311912
-2.3585856151747704,-1.8165499095964244
-2.3574448281202938,-1.8167665653751783
-2.3563840759123207,-1.8169649822891032
-2.356220630552461,-1.8169589150435765
-2.3565155452227042,-1.8168483937133866
-2.356761953418289,-1.8167489263562266
-2.357265428735133,-1.8165908768603876
-2.3573566304232862,-1.8165267789783188
-2.3570646515027964,-1.8165500028021315
-2.3576166330517827,-1.8163808993885295
-2.359095022714498,-1.8160006800285347
-2.3597488571167804,-1.8158083657198663
-2.3611763275070876,-1.815439750177049
-2.361985368659319,-1.8152120663380227
-2.3639487988169536,-1.8147213127743578
-2.3640666736944254,-1.8146511364312718
-2.3627730999632477,-1.8149026102382466
-2.364147216456902,-1.8145461533307206
-2.3665471736018167,-1.8139559211391383
-2.3693327309435883,-1.8132778158500709
-2.3676026231921496,-1.813628769887686
-2.3658992031810264,-1.8139736421483066
-2.365146444399703,-1.8141018715036528
-2.365468032259265,-1.813985271712444
-2.36604668699757,-1.813810089837824
-2.3669866968197093,-1.8135525600008122
-2.3673349578685903,-1.813429881748586
-2.366989625051448,-1.8134652642076903
-2.364747818166767,-1.8139328275940163
-2.364123592703557,-1.8140317659352891
-2.3631113392097105,-1.8142191306447042
-2.3619462990391633,-1.8144413133823407
-2.3619623210633387,-1.8143943479343196
-2.3624633687889203,-1.8142368516538723
-2.3631972380377064,-1.8140262984803737
-2.365032134634711,-1.8135648359860486
-2.3647910820196114,-1.8135764543899606
-2.3650884167631023,-1.813465381557634
-2.3648206912012,-1.8134830783672984
-2.364502039091392,-1.8135123806521296
-2.3657742952137353,-1.8131791363529248
-2.366918010742467,-1.8128751847257802
-2.3665726779253244,-1.8129105671848842
-2.3688198481510216,-1.8123551530767892
-2.3686806561497495,-1.812343558817114
-2.3692593184060695,-1.8121683752292392
-2.370250254533599,-1.8118992399723286
-2.3714691492412743,-1.8115781560216693
-2.3697147956492635,-1.8119346353601782
-2.3691657498500303,-1.8120164412674025
-2.3663613024906884,-1.8126122228488488
-2.3664015701129197,-1.812559732155201
-2.3666989123744253,-1.8124486576096202
-2.365507199014559,-1.812676918808275
-2.363752845180031,-1.8130333982020495
-2.3645376407342065,-1.812811239608651
-2.364834975477698,-1.812700166776325
-2.3644387163551657,-1.812747154655328
-2.3641467374346763,-1.8127703784791405
-2.3635467650875372,-1.812863789861532
-2.3625611850255264,-1.8130450760546624
-2.361626538544403,-1.813214755169905
-2.3615649535558547,-1.8131854753160566
-2.36158097558003,-1.8131385098680355
-2.3607239288361326,-1.8132905050470935
-2.3605847365923442,-1.813278910842685
-2.360959678348559,-1.8131501524161853
-2.3605900999333604,-1.813191060120916
-2.3606036870907743,-1.813144649546275
-2.359722394506304,-1.813302170026226
-2.358967215409216,-1.8134309509389743
-2.358854696597263,-1.813413278218282
-2.3595352117068793,-1.8132148837353406
-2.3591146994682766,-1.8132673985732255
-2.3581291266817637,-1.8134486831083683
-2.3588872415286053,-1.813232604689241
-2.359570183986968,-1.8130336570461754
-2.361123753071144,-1.8126363053073988
-2.3616248083147404,-1.812478807313697
-2.3607944422781766,-1.812624722318481
-2.35988646922889,-1.8127883229174386
-2.3599776706745255,-1.8127242250906366
-2.360352612673257,-1.812595466608871
-2.3602643467348576,-1.8125722669845625
-2.360690222556994,-1.8124319013696424
-2.3606286300504307,-1.8124026232290495
-2.3605136909227125,-1.8123855020657587
-2.3597342514340554,-1.812519811595377
-2.358595891970842,-1.8127359141587402
-2.358124453184333,-1.812800034471792
-2.3578567273799136,-1.8128177313367226
-2.3567426210327715,-1.8130283069412045
-2.3570399557762625,-1.8129172341088773
-2.3570559705249394,-1.812870270318845
-2.358250619634559,-1.8125547116138132
-2.3582132877620814,-1.812519904801084
-2.3585106225055723,-1.8124088319687575
-2.3589607439257643,-1.8122629411082103
-2.358336518462554,-1.812361879449483
-2.3578626596027967,-1.8124265512646716
-2.358135741230217,-1.8123210053912264
-2.358714395968523,-1.812145823516606
-2.3592663777600253,-1.811976720047738
-2.359668000223574,-1.8118418814469657
-2.359708267845805,-1.8117893907533178
-2.3596466828572566,-1.8117601108994699
-2.3594298836007446,-1.8117662022892338
-2.3579835231928663,-1.8120524941244305
-2.357126483966984,-1.8122044875902334
-2.35616758436979,-1.8123796936643575
